Day,L,M,S,SD4neg,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3,SD4
71,1,39.6271,0.02966,34.926,36.101,37.276,38.452,39.627,40.802,41.978,43.153,44.328
72,1,39.674,0.02963,34.972,36.147,37.323,38.498,39.674,40.85,42.025,43.201,44.376
73,1,39.7206,0.02961,35.016,36.192,37.368,38.544,39.721,40.897,42.073,43.249,44.425
74,1,39.7668,0.02958,35.062,36.238,37.414,38.59,39.767,40.943,42.119,43.296,44.472
75,1,39.8127,0.02955,35.107,36.283,37.46,38.636,39.813,40.989,42.166,43.342,44.519
76,1,39.8581,0.02953,35.15,36.327,37.504,38.681,39.858,41.035,42.212,43.389,44.566
77,1,39.9033,0.0295,35.195,36.372,37.549,38.726,39.903,41.08,42.258,43.435,44.612
78,1,39.948,0.02948,35.237,36.415,37.593,38.77,39.948,41.126,42.303,43.481,44.659
79,1,39.9924,0.02945,35.281,36.459,37.637,38.815,39.992,41.17,42.348,43.526,44.704
80,1,40.0365,0.02943,35.323,36.502,37.68,38.858,40.036,41.215,42.393,43.571,44.75
81,1,40.0803,0.0294,35.367,36.545,37.724,38.902,40.08,41.259,42.437,43.615,44.794
82,1,40.1237,0.02938,35.408,36.587,37.766,38.945,40.124,41.303,42.481,43.66,44.839
83,1,40.1668,0.02936,35.45,36.629,37.808,38.988,40.167,41.346,42.525,43.705,44.884
84,1,40.2096,0.02933,35.492,36.672,37.851,39.03,40.21,41.389,42.568,43.748,44.927
85,1,40.2521,0.02931,35.533,36.713,37.893,39.072,40.252,41.432,42.612,43.791,44.971
86,1,40.2943,0.02929,35.573,36.754,37.934,39.114,40.294,41.475,42.655,43.835,45.015
87,1,40.3362,0.02927,35.614,36.794,37.975,39.156,40.336,41.517,42.697,43.878,45.059
88,1,40.3778,0.02925,35.654,36.835,38.016,39.197,40.378,41.559,42.74,43.921,45.102
89,1,40.4191,0.02922,35.695,36.876,38.057,39.238,40.419,41.6,42.781,43.962,45.143
90,1,40.4601,0.0292,35.734,36.916,38.097,39.279,40.46,41.642,42.823,44.004,45.186
91,1,40.5008,0.02918,35.774,36.955,38.137,39.319,40.501,41.683,42.864,44.046,45.228
92,1,40.5413,0.02916,35.813,36.995,38.177,39.359,40.541,41.723,42.906,44.088,45.27
93,1,40.5815,0.02914,35.851,37.034,38.216,39.399,40.582,41.764,42.947,44.129,45.312
94,1,40.6214,0.02912,35.89,37.073,38.256,39.439,40.621,41.804,42.987,44.17,45.353
95,1,40.6611,0.0291,35.928,37.111,38.295,39.478,40.661,41.844,43.028,44.211,45.394
96,1,40.7005,0.02908,35.966,37.15,38.333,39.517,40.7,41.884,43.068,44.251,45.435
97,1,40.7396,0.02907,36.002,37.187,38.371,39.555,40.74,41.924,43.108,44.293,45.477
98,1,40.7785,0.02905,36.04,37.225,38.409,39.594,40.778,41.963,43.148,44.332,45.517
99,1,40.8172,0.02903,36.078,37.262,38.447,39.632,40.817,42.002,43.187,44.372,45.557
100,1,40.8555,0.02901,36.115,37.3,38.485,39.67,40.856,42.041,43.226,44.411,45.596
101,1,40.8936,0.02899,36.152,37.337,38.523,39.708,40.894,42.079,43.265,44.45,45.636
102,1,40.9315,0.02898,36.187,37.373,38.559,39.745,40.932,42.118,43.304,44.49,45.676
103,1,40.9691,0.02896,36.223,37.41,38.596,39.783,40.969,42.156,43.342,44.528,45.715
104,1,41.0065,0.02894,36.26,37.446,38.633,39.82,41.006,42.193,43.38,44.567,45.753
105,1,41.0436,0.02893,36.294,37.481,38.669,39.856,41.044,42.231,43.418,44.606,45.793
106,1,41.0805,0.02891,36.33,37.518,38.705,39.893,41.08,42.268,43.456,44.643,45.831
107,1,41.1172,0.02889,36.366,37.554,38.741,39.929,41.117,42.305,43.493,44.681,45.869
108,1,41.1536,0.02888,36.4,37.588,38.777,39.965,41.154,42.342,43.531,44.719,45.908
109,1,41.1898,0.02886,36.435,37.624,38.812,40.001,41.19,42.379,43.567,44.756,45.945
110,1,41.2257,0.02885,36.468,37.658,38.847,40.036,41.226,42.415,43.604,44.794,45.983
111,1,41.2615,0.02883,36.503,37.693,38.882,40.072,41.262,42.451,43.641,44.83,46.02
112,1,41.297,0.02882,36.536,37.726,38.917,40.107,41.297,42.487,43.677,44.868,46.058
113,1,41.3323,0.0288,36.571,37.761,38.952,40.142,41.332,42.523,43.713,44.903,46.094
114,1,41.3673,0.02879,36.603,37.794,38.985,40.176,41.367,42.558,43.749,44.94,46.131
115,1,41.4022,0.02877,36.638,37.829,39.02,40.211,41.402,42.593,43.784,44.976,46.167
116,1,41.4368,0.02876,36.67,37.862,39.053,40.245,41.437,42.629,43.82,45.012,46.204
117,1,41.4712,0.02875,36.702,37.894,39.087,40.279,41.471,42.663,43.856,45.048,46.24
118,1,41.5054,0.02873,36.736,37.928,39.12,40.313,41.505,42.698,43.89,45.083,46.275
119,1,41.5394,0.02872,36.767,37.96,39.153,40.346,41.539,42.732,43.925,45.118,46.311
120,1,41.5731,0.02871,36.799,37.992,39.186,40.38,41.573,42.767,43.96,45.154,46.347
121,1,41.6067,0.02869,36.832,38.026,39.219,40.413,41.607,42.8,43.994,45.188,46.381
122,1,41.6401,0.02868,36.863,38.057,39.252,40.446,41.64,42.834,44.029,45.223,46.417
123,1,41.6732,0.02867,36.894,38.089,39.284,40.478,41.673,42.868,44.063,45.258,46.452
124,1,41.7062,0.02865,36.927,38.122,39.316,40.511,41.706,42.901,44.096,45.291,46.486
125,1,41.7389,0.02864,36.957,38.153,39.348,40.543,41.739,42.934,44.13,45.325,46.521
126,1,41.7715,0.02863,36.988,38.184,39.38,40.576,41.772,42.967,44.163,45.359,46.555
127,1,41.8038,0.02862,37.018,38.215,39.411,40.607,41.804,43,44.197,45.393,46.589
128,1,41.836,0.02861,37.048,38.245,39.442,40.639,41.836,43.033,44.23,45.427,46.624
129,1,41.868,0.02859,37.08,38.277,39.474,40.671,41.868,43.065,44.262,45.459,46.656
130,1,41.8997,0.02858,37.11,38.307,39.505,40.702,41.9,43.097,44.295,45.492,46.69
131,1,41.9313,0.02857,37.139,38.337,39.535,40.733,41.931,43.129,44.327,45.525,46.723
132,1,41.9627,0.02856,37.169,38.367,39.566,40.764,41.963,43.161,44.36,45.558,46.757
133,1,41.9939,0.02855,37.198,38.397,39.596,40.795,41.994,43.193,44.392,45.591,46.79
134,1,42.0249,0.02854,37.227,38.427,39.626,40.826,42.025,43.224,44.424,45.623,46.822
135,1,42.0557,0.02853,37.256,38.456,39.656,40.856,42.056,43.256,44.455,45.655,46.855
136,1,42.0864,0.02852,37.285,38.485,39.686,40.886,42.086,43.287,44.487,45.687,46.888
137,1,42.1168,0.02851,37.314,38.515,39.715,40.916,42.117,43.318,44.518,45.719,46.92
138,1,42.1471,0.0285,37.342,38.544,39.745,40.946,42.147,43.348,44.549,45.751,46.952
139,1,42.1772,0.02849,37.371,38.572,39.774,40.976,42.177,43.379,44.58,45.782,46.984
140,1,42.2071,0.02848,37.399,38.601,39.803,41.005,42.207,43.409,44.611,45.813,47.015
141,1,42.2368,0.02847,37.427,38.629,39.832,41.034,42.237,43.439,44.642,45.844,47.047
142,1,42.2664,0.02846,37.455,38.658,39.861,41.063,42.266,43.469,44.672,45.875,47.078
143,1,42.2957,0.02845,37.482,38.686,39.889,41.092,42.296,43.499,44.702,45.906,47.109
144,1,42.3249,0.02844,37.51,38.714,39.917,41.121,42.325,43.529,44.732,45.936,47.14
145,1,42.354,0.02843,37.538,38.742,39.946,41.15,42.354,43.558,44.762,45.966,47.17
146,1,42.3828,0.02842,37.565,38.769,39.974,41.178,42.383,43.587,44.792,45.996,47.201
147,1,42.4115,0.02841,37.592,38.797,40.002,41.207,42.412,43.616,44.821,46.026,47.231
148,1,42.44,0.0284,37.619,38.824,40.029,41.235,42.44,43.645,44.851,46.056,47.261
149,1,42.4684,0.02839,37.646,38.851,40.057,41.263,42.468,43.674,44.88,46.085,47.291
150,1,42.4965,0.02839,37.671,38.877,40.084,41.29,42.496,43.703,44.909,46.116,47.322
151,1,42.5246,0.02838,37.697,38.904,40.111,41.318,42.525,43.731,44.938,46.145,47.352
152,1,42.5524,0.02837,37.724,38.931,40.138,41.345,42.552,43.76,44.967,46.174,47.381
153,1,42.5801,0.02836,37.75,38.957,40.165,41.373,42.58,43.788,44.995,46.203,47.41
154,1,42.6076,0.02835,37.776,38.984,40.192,41.4,42.608,43.816,45.023,46.231,47.439
155,1,42.6349,0.02835,37.8,39.009,40.218,41.426,42.635,43.844,45.052,46.261,47.47
156,1,42.6621,0.02834,37.826,39.035,40.244,41.453,42.662,43.871,45.08,46.289,47.498
157,1,42.6892,0.02833,37.852,39.061,40.27,41.48,42.689,43.899,45.108,46.317,47.527
158,1,42.716,0.02832,37.877,39.087,40.297,41.506,42.716,43.926,45.135,46.345,47.555
159,1,42.7427,0.02832,37.901,39.111,40.322,41.532,42.743,43.953,45.164,46.374,47.585
160,1,42.7693,0.02831,37.926,39.137,40.348,41.559,42.769,43.98,45.191,46.402,47.612
161,1,42.7957,0.0283,37.951,39.162,40.373,41.585,42.796,44.007,45.218,46.429,47.64
162,1,42.8219,0.02829,37.976,39.188,40.399,41.61,42.822,44.033,45.245,46.456,47.668
163,1,42.848,0.02829,37.999,39.211,40.424,41.636,42.848,44.06,45.272,46.485,47.697
164,1,42.874,0.02828,38.024,39.237,40.449,41.662,42.874,44.086,45.299,46.511,47.724
165,1,42.8997,0.02827,38.049,39.261,40.474,41.687,42.9,44.112,45.325,46.538,47.751
166,1,42.9254,0.02827,38.071,39.285,40.498,41.712,42.925,44.139,45.352,46.566,47.779
167,1,42.9509,0.02826,38.096,39.31,40.523,41.737,42.951,44.165,45.378,46.592,47.806
168,1,42.9762,0.02825,38.12,39.334,40.548,41.762,42.976,44.19,45.404,46.618,47.833
169,1,43.0014,0.02825,38.142,39.357,40.572,41.787,43.001,44.216,45.431,46.646,47.861
170,1,43.0264,0.02824,38.166,39.381,40.596,41.811,43.026,44.241,45.457,46.672,47.887
171,1,43.0513,0.02823,38.19,39.405,40.621,41.836,43.051,44.267,45.482,46.697,47.913
172,1,43.0761,0.02823,38.212,39.428,40.644,41.86,43.076,44.292,45.508,46.724,47.94
173,1,43.1007,0.02822,38.235,39.452,40.668,41.884,43.101,44.317,45.533,46.75,47.966
174,1,43.1252,0.02822,38.257,39.474,40.691,41.908,43.125,44.342,45.559,46.776,47.993
175,1,43.1495,0.02821,38.281,39.498,40.715,41.932,43.15,44.367,45.584,46.801,48.018
176,1,43.1737,0.0282,38.304,39.521,40.739,41.956,43.174,44.391,45.609,46.826,48.044
177,1,43.1978,0.0282,38.325,39.543,40.761,41.98,43.198,44.416,45.634,46.852,48.071
178,1,43.2217,0.02819,38.348,39.566,40.785,42.003,43.222,44.44,45.659,46.877,48.095
179,1,43.2455,0.02819,38.369,39.588,40.807,42.026,43.246,44.465,45.684,46.903,48.122
180,1,43.2691,0.02818,38.392,39.611,40.83,42.05,43.269,44.488,45.708,46.927,48.146
181,1,43.2927,0.02818,38.413,39.633,40.853,42.073,43.293,44.513,45.733,46.953,48.173
182,1,43.316,0.02817,38.435,39.655,40.876,42.096,43.316,44.536,45.756,46.977,48.197
183,1,43.3393,0.02817,38.456,39.677,40.898,42.118,43.339,44.56,45.781,47.002,48.223
184,1,43.3624,0.02816,38.478,39.699,40.92,42.141,43.362,44.583,45.805,47.026,48.247
185,1,43.3854,0.02816,38.498,39.72,40.942,42.164,43.385,44.607,45.829,47.051,48.272
186,1,43.4083,0.02815,38.521,39.742,40.964,42.186,43.408,44.63,45.852,47.074,48.296
187,1,43.431,0.02815,38.541,39.763,40.986,42.208,43.431,44.654,45.876,47.099,48.321
188,1,43.4536,0.02814,38.562,39.785,41.008,42.231,43.454,44.676,45.899,47.122,48.345
189,1,43.4761,0.02814,38.582,39.806,41.029,42.253,43.476,44.7,45.923,47.146,48.37
190,1,43.4984,0.02813,38.604,39.828,41.051,42.275,43.498,44.722,45.946,47.169,48.393
191,1,43.5206,0.02813,38.624,39.848,41.072,42.296,43.521,44.745,45.969,47.193,48.418
192,1,43.5427,0.02812,38.645,39.869,41.094,42.318,43.543,44.767,45.992,47.216,48.44
193,1,43.5647,0.02812,38.665,39.89,41.115,42.34,43.565,44.79,46.015,47.24,48.465
194,1,43.5865,0.02811,38.686,39.911,41.136,42.361,43.586,44.812,46.037,47.262,48.487
195,1,43.6082,0.02811,38.705,39.931,41.157,42.382,43.608,44.834,46.06,47.286,48.512
196,1,43.6298,0.0281,38.726,39.952,41.178,42.404,43.63,44.856,46.082,47.308,48.534
197,1,43.6513,0.0281,38.745,39.971,41.198,42.425,43.651,44.878,46.105,47.331,48.558
198,1,43.6727,0.0281,38.764,39.991,41.218,42.445,43.673,44.9,46.127,47.354,48.582
199,1,43.6939,0.02809,38.784,40.012,41.239,42.467,43.694,44.921,46.149,47.376,48.603
200,1,43.715,0.02809,38.803,40.031,41.259,42.487,43.715,44.943,46.171,47.399,48.627
201,1,43.736,0.02808,38.824,40.052,41.28,42.508,43.736,44.964,46.192,47.42,48.648
202,1,43.7569,0.02808,38.842,40.071,41.3,42.528,43.757,44.986,46.214,47.443,48.672
203,1,43.7777,0.02808,38.861,40.09,41.319,42.548,43.778,45.007,46.236,47.466,48.695
204,1,43.7983,0.02807,38.881,40.11,41.339,42.569,43.798,45.028,46.257,47.487,48.716
205,1,43.8188,0.02807,38.899,40.129,41.359,42.589,43.819,45.049,46.279,47.509,48.739
206,1,43.8393,0.02807,38.917,40.148,41.378,42.609,43.839,45.07,46.3,47.531,48.762
207,1,43.8596,0.02806,38.937,40.167,41.398,42.629,43.86,45.09,46.321,47.552,48.782
208,1,43.8798,0.02806,38.955,40.186,41.417,42.649,43.88,45.111,46.342,47.574,48.805
209,1,43.8998,0.02806,38.972,40.204,41.436,42.668,43.9,45.132,46.363,47.595,48.827
210,1,43.9198,0.02805,38.992,40.224,41.456,42.688,43.92,45.152,46.384,47.616,48.848
211,1,43.9397,0.02805,39.01,40.242,41.475,42.707,43.94,45.172,46.405,47.637,48.87
212,1,43.9594,0.02805,39.027,40.26,41.493,42.726,43.959,45.192,46.426,47.659,48.892
213,1,43.9791,0.02804,39.046,40.28,41.513,42.746,43.979,45.212,46.445,47.679,48.912
214,1,43.9986,0.02804,39.064,40.297,41.531,42.765,43.999,45.232,46.466,47.7,48.933
215,1,44.0181,0.02804,39.081,40.315,41.55,42.784,44.018,45.252,46.487,47.721,48.955
216,1,44.0374,0.02803,39.1,40.334,41.569,42.803,44.037,45.272,46.506,47.741,48.975
217,1,44.0566,0.02803,39.117,40.352,41.587,42.822,44.057,45.292,46.526,47.761,48.996
218,1,44.0757,0.02803,39.134,40.369,41.605,42.84,44.076,45.311,46.547,47.782,49.017
219,1,44.0947,0.02802,39.153,40.388,41.624,42.859,44.095,45.33,46.566,47.801,49.037
220,1,44.1136,0.02802,39.169,40.405,41.641,42.878,44.114,45.35,46.586,47.822,49.058
221,1,44.1325,0.02802,39.186,40.423,41.659,42.896,44.132,45.369,46.606,47.842,49.079
222,1,44.1512,0.02801,39.204,40.441,41.678,42.915,44.151,45.388,46.625,47.861,49.098
223,1,44.1698,0.02801,39.221,40.458,41.695,42.933,44.17,45.407,46.644,47.881,49.119
224,1,44.1883,0.02801,39.237,40.475,41.713,42.951,44.188,45.426,46.664,47.901,49.139
225,1,44.2067,0.02801,39.254,40.492,41.73,42.968,44.207,45.445,46.683,47.921,49.16
226,1,44.225,0.028,39.272,40.51,41.748,42.987,44.225,45.463,46.702,47.94,49.178
227,1,44.2432,0.028,39.288,40.527,41.766,43.004,44.243,45.482,46.721,47.96,49.198
228,1,44.2613,0.028,39.304,40.543,41.783,43.022,44.261,45.501,46.74,47.979,49.219
229,1,44.2793,0.028,39.32,40.56,41.8,43.039,44.279,45.519,46.759,47.999,49.239
230,1,44.2972,0.02799,39.338,40.578,41.817,43.057,44.297,45.537,46.777,48.017,49.257
231,1,44.315,0.02799,39.353,40.594,41.834,43.075,44.315,45.555,46.796,48.036,49.277
232,1,44.3328,0.02799,39.369,40.61,41.851,43.092,44.333,45.574,46.815,48.055,49.296
233,1,44.3504,0.02799,39.385,40.626,41.868,43.109,44.35,45.592,46.833,48.075,49.316
234,1,44.3679,0.02798,39.402,40.644,41.885,43.126,44.368,45.609,46.851,48.092,49.334
235,1,44.3854,0.02798,39.418,40.66,41.902,43.143,44.385,45.627,46.869,48.111,49.353
236,1,44.4027,0.02798,39.433,40.676,41.918,43.16,44.403,45.645,46.887,48.13,49.372
237,1,44.42,0.02798,39.449,40.691,41.934,43.177,44.42,45.663,46.906,48.149,49.391
238,1,44.4372,0.02798,39.464,40.707,41.95,43.194,44.437,45.681,46.924,48.167,49.411
239,1,44.4543,0.02797,39.481,40.724,41.968,43.211,44.454,45.698,46.941,48.184,49.428
240,1,44.4713,0.02797,39.496,40.74,41.984,43.227,44.471,45.715,46.959,48.203,49.447
241,1,44.4882,0.02797,39.511,40.755,42,43.244,44.488,45.733,46.977,48.221,49.466
242,1,44.505,0.02797,39.526,40.771,42.015,43.26,44.505,45.75,46.995,48.239,49.484
243,1,44.5217,0.02797,39.541,40.786,42.031,43.276,44.522,45.767,47.012,48.258,49.503
244,1,44.5384,0.02796,39.557,40.803,42.048,43.293,44.538,45.784,47.029,48.274,49.52
245,1,44.5549,0.02796,39.572,40.818,42.063,43.309,44.555,45.801,47.046,48.292,49.538
246,1,44.5714,0.02796,39.587,40.833,42.079,43.325,44.571,45.818,47.064,48.31,49.556
247,1,44.5878,0.02796,39.601,40.848,42.094,43.341,44.588,45.834,47.081,48.328,49.574
248,1,44.6041,0.02796,39.616,40.863,42.11,43.357,44.604,45.851,47.098,48.345,49.593
249,1,44.6203,0.02795,39.632,40.879,42.126,43.373,44.62,45.867,47.115,48.362,49.609
250,1,44.6365,0.02795,39.646,40.894,42.141,43.389,44.636,45.884,47.132,48.379,49.627
251,1,44.6525,0.02795,39.66,40.908,42.156,43.404,44.652,45.901,47.149,48.397,49.645
252,1,44.6685,0.02795,39.675,40.923,42.172,43.42,44.668,45.917,47.165,48.414,49.662
253,1,44.6844,0.02795,39.689,40.938,42.187,43.435,44.684,45.933,47.182,48.431,49.68
254,1,44.7002,0.02795,39.703,40.952,42.201,43.451,44.7,45.95,47.199,48.448,49.698
255,1,44.716,0.02794,39.719,40.968,42.217,43.467,44.716,45.965,47.215,48.464,49.713
256,1,44.7316,0.02794,39.732,40.982,42.232,43.482,44.732,45.981,47.231,48.481,49.731
257,1,44.7472,0.02794,39.746,40.996,42.247,43.497,44.747,45.997,47.248,48.498,49.748
258,1,44.7627,0.02794,39.76,41.011,42.261,43.512,44.763,46.013,47.264,48.515,49.765
259,1,44.7781,0.02794,39.774,41.025,42.276,43.527,44.778,46.029,47.28,48.531,49.783
260,1,44.7935,0.02794,39.787,41.039,42.29,43.542,44.794,46.045,47.297,48.548,49.8
261,1,44.8088,0.02794,39.801,41.053,42.305,43.557,44.809,46.061,47.313,48.565,49.817
262,1,44.824,0.02793,39.816,41.068,42.32,43.572,44.824,46.076,47.328,48.58,49.832
263,1,44.8391,0.02793,39.83,41.082,42.334,43.587,44.839,46.091,47.344,48.596,49.849
264,1,44.8542,0.02793,39.843,41.096,42.349,43.601,44.854,46.107,47.36,48.613,49.865
265,1,44.8691,0.02793,39.856,41.11,42.363,43.616,44.869,46.122,47.375,48.629,49.882
266,1,44.884,0.02793,39.87,41.123,42.377,43.63,44.884,46.138,47.391,48.645,49.898
267,1,44.8989,0.02793,39.883,41.137,42.391,43.645,44.899,46.153,47.407,48.661,49.915
268,1,44.9136,0.02793,39.896,41.15,42.405,43.659,44.914,46.168,47.422,48.677,49.931
269,1,44.9283,0.02793,39.909,41.164,42.419,43.673,44.928,46.183,47.438,48.693,49.948
270,1,44.9429,0.02792,39.924,41.178,42.433,43.688,44.943,46.198,47.453,48.707,49.962
271,1,44.9575,0.02792,39.937,41.192,42.447,43.702,44.958,46.213,47.468,48.723,49.978
272,1,44.972,0.02792,39.95,41.205,42.461,43.716,44.972,46.228,47.483,48.739,49.994
273,1,44.9864,0.02792,39.962,41.218,42.474,43.73,44.986,46.242,47.498,48.754,50.01
274,1,45.0007,0.02792,39.975,41.231,42.488,43.744,45.001,46.257,47.514,48.77,50.026
275,1,45.015,0.02792,39.988,41.245,42.501,43.758,45.015,46.272,47.529,48.785,50.042
276,1,45.0292,0.02792,40,41.258,42.515,43.772,45.029,46.286,47.544,48.801,50.058
277,1,45.0433,0.02792,40.013,41.27,42.528,43.786,45.043,46.301,47.559,48.816,50.074
